Run Fastify
Service is running http://localhost:4000
Run Fastify
Service is running http://localhost:4000
Run Fastify
Service is running http://localhost:4000
[2021-07-10 11:16:8] Method: GET; Url: /boards/12345/tasks; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: GET; Url: /users; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: GET; Url: /boards; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: GET; Url: /boards/12345/tasks/12345; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: POST; Url: /boards/12345/tasks; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: PUT; Url: /boards/12345/tasks/12345; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: DELETE; Url: /boards/12345/tasks/12345; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: GET; Url: /boards/12345; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: GET; Url: /users/123; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: POST; Url: /boards; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: POST; Url: /users; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: POST; Url: /login; Query parameters: undefined; Body: undefined; Status code: 200
[2021-07-10 11:16:8] Method: PUT; Url: /boards/12345; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: PUT; Url: /users/12345; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: DELETE; Url: /boards/12345; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: DELETE; Url: /users/12345; Query parameters: undefined; Body: undefined; Status code: 500
[2021-07-10 11:16:8] Method: POST; Url: /login; Query parameters: undefined; Body: undefined; Status code: 200
[2021-07-10 11:16:8] Method: POST; Url: /boards; Query parameters: undefined; Body: undefined; Status code: 201
[2021-07-10 11:16:8] Method: GET; Url: /users; Query parameters: undefined; Body: undefined; Status code: 200
[2021-07-10 11:16:8] Method: POST; Url: /login; Query parameters: undefined; Body: undefined; Status code: 200
[2021-07-10 11:16:8] Method: POST; Url: /users; Query parameters: undefined; Body: undefined; Status code: 201
[2021-07-10 11:16:8] Method: GET; Url: /boards; Query parameters: undefined; Body: undefined; Status code: 200
[2021-07-10 11:16:8] Method: POST; Url: /boards; Query parameters: undefined; Body: undefined; Status code: 201
[2021-07-10 11:16:8] Method: GET; Url: /users/e05a6ab2-09c4-49ad-becb-3e80dc23b380; Query parameters: undefined; Body: undefined; Status code: 200
[2021-07-10 11:16:8] Method: DELETE; Url: /users/e05a6ab2-09c4-49ad-becb-3e80dc23b380; Query parameters: undefined; Body: undefined; Status code: 204
